Correlações entre as variáveis;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;IRS;RDECLIRS;COMTPNAC;VOPRPAG;LEVMULN;CREHABT;GANHTCO;TXURB5;AUTOMOV;VVNECOM;LEVMULINT;COMTPINT;IMT;TPRURB;IMI;VVNEREST
IRS;1;;;;;;;;;;;;;;;
RDECLIRS;0,94;1;;;;;;;;;;;;;;
COMTPNAC;0,78;0,78;1;;;;;;;;;;;;;
VOPRPAG;0,76;0,77;0,80;1;;;;;;;;;;;;
LEVMULN;0,67;0,73;0,75;0,87;1;;;;;;;;;;;
CREHABT;0,71;0,69;0,69;0,64;0,61;1;;;;;;;;;;
GANHTCO;0,70;0,69;0,66;0,66;0,65;0,65;1;;;;;;;;;
TXURB5;0,60;0,58;0,63;0,58;0,58;0,47;0,44;1;;;;;;;;
AUTOMOV;0,50;0,48;0,54;0,50;0,40;0,45;0,37;0,36;1;;;;;;;
VVNECOM;0,45;0,45;0,60;0,56;0,55;0,40;0,50;0,43;0,31;1;;;;;;
LEVMULINT;0,18;0,14;0,28;0,39;0,33;0,21;0,19;0,06;0,17;0,31;1;;;;;
COMTPINT;0,32;0,29;0,42;0,50;0,39;0,29;0,31;0,19;0,31;0,38;0,84;1;;;;
IMT;0,44;0,38;0,45;0,63;0,45;0,37;0,35;0,25;0,31;0,38;0,63;0,71;1;;;
TPRURB;0,58;0,51;0,58;0,72;0,53;0,52;0,47;0,36;0,42;0,46;0,71;0,77;0,89;1;;
IMI;0,47;0,46;0,53;0,66;0,51;0,29;0,37;0,35;0,36;0,43;0,68;0,72;0,74;0,82;1;
VVNEREST;0,51;0,49;0,58;0,70;0,57;0,44;0,46;0,32;0,35;0,43;0,78;0,85;0,78;0,86;0,79;1
;;;;;;;;;;;;;;;;
