IpC, PPC e FDR por NUTS I, II, III e município, 2017;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Indicador per Capita;Percentagem de Poder de Compra;Fator Dinamismo Relativo;;;;;;;;;;;;;;;;
Portugal;100,00;100,000;-0,059;;;;;;;;;;;;;;;;
 Continente;100,67;95,793;-0,060;;;;;;;;;;;;;;;;
  Norte;92,11;32,008;-0,325;;;;;;;;;;;;;;;;
   Alto Minho;79,65;1,797;0,099;;;;;;;;;;;;;;;;
Arcos de Valdevez;67,78;0,139;0,264;;;;;;;;;;;;;;;;
Caminha;78,91;0,122;0,698;;;;;;;;;;;;;;;;
Melgaço;62,02;0,050;0,542;;;;;;;;;;;;;;;;
Monção;70,16;0,123;0,324;;;;;;;;;;;;;;;;
Paredes de Coura;66,39;0,056;-0,018;;;;;;;;;;;;;;;;
Ponte da Barca;64,43;0,071;0,545;;;;;;;;;;;;;;;;
Ponte de Lima;71,04;0,288;-0,029;;;;;;;;;;;;;;;;
Valença;82,66;0,107;0,375;;;;;;;;;;;;;;;;
Viana do Castelo;93,09;0,769;-0,177;;;;;;;;;;;;;;;;
Vila Nova de Cerveira;84,24;0,073;0,136;;;;;;;;;;;;;;;;
   Cávado;89,89;3,528;-0,360;;;;;;;;;;;;;;;;
Amares;70,88;0,125;-0,002;;;;;;;;;;;;;;;;
Barcelos;78,87;0,897;-0,393;;;;;;;;;;;;;;;;
Braga;106,97;1,885;-0,555;;;;;;;;;;;;;;;;
Esposende;83,83;0,277;0,117;;;;;;;;;;;;;;;;
Terras de Bouro;63,16;0,040;0,204;;;;;;;;;;;;;;;;
Vila Verde;66,79;0,305;-0,090;;;;;;;;;;;;;;;;
   Ave;84,87;3,413;-0,332;;;;;;;;;;;;;;;;
Cabeceiras de Basto;65,41;0,101;0,031;;;;;;;;;;;;;;;;
Fafe;75,25;0,355;-0,196;;;;;;;;;;;;;;;;
Guimarães;91,39;1,361;-0,352;;;;;;;;;;;;;;;;
Mondim de Basto;59,55;0,041;0,064;;;;;;;;;;;;;;;;
Póvoa de Lanhoso;69,43;0,145;0,269;;;;;;;;;;;;;;;;
Vieira do Minho;67,24;0,079;-0,052;;;;;;;;;;;;;;;;
Vila Nova de Famalicão;88,79;1,138;-0,505;;;;;;;;;;;;;;;;
Vizela;84,08;0,194;-0,567;;;;;;;;;;;;;;;;
   A. M. Porto;104,43;17,450;-0,405;;;;;;;;;;;;;;;;
Arouca;70,77;0,145;-0,221;;;;;;;;;;;;;;;;
Espinho;103,00;0,296;-0,364;;;;;;;;;;;;;;;;
Gondomar;84,09;1,353;-0,671;;;;;;;;;;;;;;;;
Maia;110,66;1,471;-0,648;;;;;;;;;;;;;;;;
Matosinhos;122,96;2,076;-0,545;;;;;;;;;;;;;;;;
Oliveira de Azeméis;83,14;0,535;-0,657;;;;;;;;;;;;;;;;
Paredes;79,82;0,668;-0,485;;;;;;;;;;;;;;;;
Porto;157,82;3,291;0,383;;;;;;;;;;;;;;;;
Póvoa de Varzim;95,53;0,579;0,015;;;;;;;;;;;;;;;;
Santa Maria da Feira;84,82;1,142;-0,491;;;;;;;;;;;;;;;;
Santo Tirso;85,75;0,571;-0,578;;;;;;;;;;;;;;;;
São João da Madeira;135,36;0,284;-0,925;;;;;;;;;;;;;;;;
Trofa;92,70;0,345;-0,631;;;;;;;;;;;;;;;;
Vale de Cambra;86,89;0,182;-0,538;;;;;;;;;;;;;;;;
Valongo;91,66;0,854;-0,756;;;;;;;;;;;;;;;;
Vila do Conde;96,17;0,742;-0,050;;;;;;;;;;;;;;;;
Vila Nova de Gaia;100,11;2,917;-0,479;;;;;;;;;;;;;;;;
   Alto Tâmega;69,49;0,589;0,028;;;;;;;;;;;;;;;;
Boticas;59,00;0,029;0,129;;;;;;;;;;;;;;;;
Chaves;79,15;0,304;-0,062;;;;;;;;;;;;;;;;
Montalegre;62,42;0,056;0,228;;;;;;;;;;;;;;;;
Ribeira de Pena;63,27;0,037;0,051;;;;;;;;;;;;;;;;
Valpaços;59,42;0,087;0,102;;;;;;;;;;;;;;;;
Vila Pouca de Aguiar;63,51;0,075;0,023;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Indicador per Capita;Percentagem de Poder de Compra;Fator Dinamismo Relativo;;;;;;;;;;;;;;;;
   Tâmega e Sousa;73,02;2,971;-0,337;;;;;;;;;;;;;;;;
Amarante;71,82;0,374;-0,199;;;;;;;;;;;;;;;;
Baião;58,19;0,108;-0,196;;;;;;;;;;;;;;;;
Castelo de Paiva;65,71;0,100;-0,358;;;;;;;;;;;;;;;;
Celorico de Basto;56,11;0,105;-0,084;;;;;;;;;;;;;;;;
Cinfães;56,87;0,103;-0,233;;;;;;;;;;;;;;;;
Felgueiras;81,62;0,450;-0,517;;;;;;;;;;;;;;;;
Lousada;71,09;0,324;-0,360;;;;;;;;;;;;;;;;
Marco de Canaveses;74,12;0,374;-0,364;;;;;;;;;;;;;;;;
Paços de Ferreira;79,35;0,437;-0,420;;;;;;;;;;;;;;;;
Penafiel;78,91;0,537;-0,357;;;;;;;;;;;;;;;;
Resende;59,49;0,060;-0,127;;;;;;;;;;;;;;;;
   Douro;76,12;1,421;-0,196;;;;;;;;;;;;;;;;
Alijó;63,59;0,067;0,183;;;;;;;;;;;;;;;;
Armamar;63,32;0,036;0,121;;;;;;;;;;;;;;;;
Carrazeda de Ansiães;62,99;0,035;-0,034;;;;;;;;;;;;;;;;
Freixo de Espada à Cinta;63,15;0,021;-0,154;;;;;;;;;;;;;;;;
Lamego;81,44;0,199;-0,272;;;;;;;;;;;;;;;;
Mesão Frio;69,49;0,027;-0,180;;;;;;;;;;;;;;;;
Moimenta da Beira;66,29;0,063;0,022;;;;;;;;;;;;;;;;
Murça;61,17;0,033;-0,114;;;;;;;;;;;;;;;;
Penedono;62,09;0,016;-0,048;;;;;;;;;;;;;;;;
Peso da Régua;82,46;0,128;-0,272;;;;;;;;;;;;;;;;
Sabrosa;61,93;0,036;0,021;;;;;;;;;;;;;;;;
Santa Marta de Penaguião;58,73;0,038;-0,253;;;;;;;;;;;;;;;;
São João da Pesqueira;64,59;0,045;-0,134;;;;;;;;;;;;;;;;
Sernancelhe;58,81;0,031;-0,108;;;;;;;;;;;;;;;;
Tabuaço;55,32;0,032;-0,010;;;;;;;;;;;;;;;;
Tarouca;63,44;0,048;-0,105;;;;;;;;;;;;;;;;
Torre de Moncorvo;62,31;0,047;-0,111;;;;;;;;;;;;;;;;
Vila Nova de Foz Côa;68,01;0,044;-0,077;;;;;;;;;;;;;;;;
Vila Real;98,13;0,476;-0,438;;;;;;;;;;;;;;;;
   Terras de Trás-os-Montes;79,55;0,839;-0,280;;;;;;;;;;;;;;;;
Alfândega da Fé;66,03;0,029;-0,281;;;;;;;;;;;;;;;;
Bragança;96,50;0,316;-0,407;;;;;;;;;;;;;;;;
Macedo de Cavaleiros;73,49;0,105;-0,289;;;;;;;;;;;;;;;;
Miranda do Douro;72,66;0,049;-0,061;;;;;;;;;;;;;;;;
Mirandela;83,00;0,177;-0,287;;;;;;;;;;;;;;;;
Mogadouro;67,93;0,057;-0,267;;;;;;;;;;;;;;;;
Vila Flor;62,36;0,037;-0,099;;;;;;;;;;;;;;;;
Vimioso;62,28;0,025;-0,102;;;;;;;;;;;;;;;;
Vinhais;57,89;0,045;-0,145;;;;;;;;;;;;;;;;
  Centro;88,30;19,145;-0,232;;;;;;;;;;;;;;;;
   Oeste;89,40;3,107;0,020;;;;;;;;;;;;;;;;
Alcobaça;86,72;0,456;-0,072;;;;;;;;;;;;;;;;
Alenquer;89,22;0,377;-0,364;;;;;;;;;;;;;;;;
Arruda dos Vinhos;91,00;0,132;-0,719;;;;;;;;;;;;;;;;
Bombarral;83,46;0,102;-0,111;;;;;;;;;;;;;;;;
Cadaval;70,83;0,094;-0,230;;;;;;;;;;;;;;;;
Caldas da Rainha;98,05;0,492;-0,142;;;;;;;;;;;;;;;;
Lourinhã;78,29;0,195;0,197;;;;;;;;;;;;;;;;
Nazaré;85,59;0,119;2,040;;;;;;;;;;;;;;;;
Óbidos;75,49;0,086;1,752;;;;;;;;;;;;;;;;
Peniche;85,85;0,223;0,647;;;;;;;;;;;;;;;;
