Distribuição por percentis do Indicador per Capita (IpC) registado nos municípios, 2017;;;;;;;;
;;;;;;;;
Percentis;;;Indicador per Capita;;Percentis;;;Indicador per Capita
;;;Lisboa;;;83;;
;;;Oeiras;;;;;Campo Maior
;;;Porto;;;;;Estremoz
;99;;São João da Madeira;;;82;;Lagos
;;;Coimbra;;;;;Porto Santo
;;;Faro;;;;;Trofa
;98;;Sines;;;81;;Viana do Castelo
;;;Aveiro;;;;;Loures
;;;Cascais;;;;;Santiago do Cacém
;97;;Matosinhos;;;80;;Tavira
;;;Alcochete;;;;;Guimarães
;;;Évora;;;;;Valongo
;96;;Funchal;;;79;;Vila Real de Santo António
;;;Albufeira;;;;;Arruda dos Vinhos
;;;Almada;;;;;Horta
;95;;Maia;;;78;;Rio Maior
;;;Braga;;;;;Lagoa
;;;Ponta Delgada;;;;;Sesimbra
;94;;Setúbal;;;77;;Vila do Porto
;;;Azambuja;;;;;Odivelas
;;;Beja;;;;;Reguengos de Monsaraz
;93;;Loulé;;;76;;Seixal
;;;Leiria;;;;;Abrantes
;;;Portalegre;;;;;Alenquer
;92;;Portimão;;;75;;Madalena
;;;Castro Verde;;;;;Elvas
;;;Espinho;;;;;Ovar
;91;;Sobral de Monte Agraço;;;74;;Vila Nova de Famalicão
;;;Amadora;;;;;Aljustrel
;;;Santarém;;;;;Ílhavo
;90;;Vila Nova de Gaia;;;73;;Santa Cruz das Flores
;;;Barreiro;;;;;Mealhada
;;;Entroncamento;;;;;Montemor-o-Novo
;89;;Montijo;;;72;;Vale de Cambra
;;;Marinha Grande;;;;;Águeda
;;;Vila Franca de Xira;;;;;Alcobaça
;88;;Vila Real;;;;;Cartaxo
;;;Caldas da Rainha;;;71;;Covilhã
;;;Palmela;;;;;Alcanena
;87;;Torres Novas;;;;;Almeirim
;;;Bragança;;;70;;Grândola
;;;Guarda;;;;;Nazaré
;86;;Mafra;;;;;Peniche
;;;Castelo Branco;;;69;;Santo Tirso
;;;Póvoa de Varzim;;;;;Santa Maria da Feira
;;;Torres Vedras;;;;;São Brás de Alportel
;85;;Vila do Conde;;;68;;Tomar
;;;Angra do Heroísmo;;;;;Albergaria-a-Velha
;;;Figueira da Foz;;;;;Batalha
;84;;Vendas Novas;;;67;;Ponte de Sôr
