Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,GenderDescription,AgeClassDescription,Demand_rel_county,Parish_variation_abs,Parish_variation_rel
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Female,15-24,0.307323,74.314072118664,0.25260209277766676
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Female,25-34,0.307323,-207.008003761686,-0.19138119044133736
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Female,35-44,0.307323,74.525993147097,0.31600683014737757
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Female,45-54,0.307323,-82.90299456873001,-0.09858239389288645
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Female,55-64,0.307323,-146.00169703417498,-0.12005256431728625
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Male,15-24,0.307323,-154.083677902821,-0.13416932121953384
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Male,25-34,0.307323,-48.79468533928501,-0.11564360933648227
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Male,35-44,0.307323,180.04955705881204,1.3075721574363455
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Male,45-54,0.307323,54.21642791895899,0.08777242705939396
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Male,55-64,0.307323,-64.288522206648,-0.07410935172621633
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,Male,65+,0.307323,-159.887213991855,-0.09913326017605782
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Female,15-24,0.069997,16.926042327096003,0.05753356790138825
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Female,25-34,0.069997,-47.148892986554,-0.04358967336425289
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Female,35-44,0.069997,16.974310228383,0.07197486061839169
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Female,45-54,0.069997,-18.882286424470003,-0.02245348322553266
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Female,55-64,0.069997,-33.253875522825,-0.027343607034023117
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Male,15-24,0.069997,-35.09465676881899,-0.030558890735166946
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Male,25-34,0.069997,-11.113654330115002,-0.026339407472677767
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Male,35-44,0.069997,41.00873948726801,0.29781737228932387
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Male,45-54,0.069997,12.348530064600999,0.019991366011904085
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Male,55-64,0.069997,-14.642586753672001,-0.016879414468751002
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,Male,65+,0.069997,-36.416491176345,-0.022578950526135434
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Female,15-24,0.066059,15.973790735112003,0.05429675503232719
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Female,25-34,0.066059,-44.496317296438,-0.041137337782607565
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Female,35-44,0.066059,16.019343105801003,0.06792558706216462
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Female,45-54,0.066059,-17.81997741209,-0.021190260273946913
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Female,55-64,0.066059,-31.383027317775,-0.02580526789806039
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Male,15-24,0.066059,-33.120247031893,-0.028839661172255858
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Male,25-34,0.066059,-10.488405094405003,-0.02485756415614413
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Male,35-44,0.066059,38.70160609439601,0.2810622997565674
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Male,45-54,0.066059,11.653807270846999,0.01886666067660574
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Male,55-64,0.066059,-13.818801353784,-0.015929786139280578
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,Male,65+,0.066059,-34.367715625215006,-0.02130866884017859
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Female,15-24,0.059847,14.471661001895999,0.049190843010334474
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Female,25-34,0.059847,-40.312010494254,-0.03726889983614216
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Female,35-44,0.059847,14.512929757533,0.06153805853720712
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Female,45-54,0.059847,-16.14423754797,-0.019197588619490162
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Female,55-64,0.059847,-28.431856914074995,-0.023378614085820554
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Male,15-24,0.059847,-30.005713439768993,-0.026127661668750603
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Male,25-34,0.059847,-9.502105385865,-0.022520029701520724
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Male,35-44,0.059847,35.062217410668005,0.2546320025058097
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Male,45-54,0.059847,10.557916464650997,0.017092493702793313
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Male,55-64,0.059847,-12.519320677271999,-0.01443179447278228
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,Male,65+,0.059847,-31.135873643594998,-0.019304862381782462
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Female,15-24,0.052341,12.656627876088,0.04302133630764979
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Female,25-34,0.052341,-35.256085372362,-0.03259464110688116
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Female,35-44,0.052341,12.692720711799,0.05381996627894394
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Female,45-54,0.052341,-14.11943017191,-0.01678983049998721
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Female,55-64,0.052341,-24.865938522224994,-0.02044647250264731
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Male,15-24,0.052341,-26.242402244906994,-0.0228507350310638
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Male,25-34,0.052341,-8.310353033595002,-0.01969557161774686
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Male,35-44,0.052341,30.664720395204004,0.22269610244718344
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Male,45-54,0.052341,9.233744476352998,0.014948756209967164
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Male,55-64,0.052341,-10.949149724616,-0.01262176139990137
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,Male,65+,0.052341,-27.230817958785,-0.016883650006263906
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Female,15-24,0.049032,11.856475382976,0.04030152579883235
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Female,25-34,0.049032,-33.027194321424,-0.03053400666308624
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Female,35-44,0.049032,11.890286428248,0.05041746597484151
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Female,45-54,0.049032,-13.22679926232,-0.015728376780637987
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Female,55-64,0.049032,-23.293912948199996,-0.019153845737563343
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Male,15-24,0.049032,-24.583356582263995,-0.02140611069798285
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Male,25-34,0.049032,-7.78497220044,-0.01845041683501202
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Male,35-44,0.049032,28.726095611808006,0.20861724642613436
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Male,45-54,0.049032,8.649986801255999,0.014003695276878737
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Male,55-64,0.049032,-10.256944064832,-0.011823813166732847
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,Male,65+,0.049032,-25.50928461732,-0.015816265014178786
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Female,15-24,0.039779,9.618998496072,0.03269608408287959
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Female,25-34,0.039779,-26.794517109478,-0.024771827603420372
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Female,35-44,0.039779,9.646428940881,0.04090300985097937
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Female,45-54,0.039779,-10.73072376929,-0.012760219855543289
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Female,55-64,0.039779,-18.898037264775,-0.015539256599660064
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Male,15-24,0.039779,-19.944145486332996,-0.01736648877172173
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Male,25-34,0.039779,-6.315842901805001,-0.01496857422254738
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Male,35-44,0.039779,23.305093762076005,0.16924835710526184
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Male,45-54,0.039779,7.017617575606999,0.011361009023065739
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Male,55-64,0.039779,-8.321320320504,-0.009592500080752691
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,Male,65+,0.039779,-20.695338407415,-0.012831522393518884
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Female,15-24,0.038691,9.355908162888001,0.031801809730025755
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Female,25-34,0.038691,-26.061657193062,-0.024094290500111557
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Female,35-44,0.038691,9.382588354449,0.0397842669283854
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Female,45-54,0.038691,-10.437226510410001,-0.01241121361599903
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Female,55-64,0.038691,-18.381154875975,-0.015114240606788697
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Male,15-24,0.038691,-19.398650871357,-0.01689149594174528
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Male,25-34,0.038691,-6.143097556845001,-0.014559167028949462
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Male,35-44,0.038691,22.667673464604007,0.1646192258417679
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Male,45-54,0.038691,6.825677910902999,0.011050272759783718
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Male,55-64,0.038691,-8.093722932216,-0.00933013450877102
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,Male,65+,0.038691,-20.129297828535,-0.01248056595006509
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Female,15-24,0.037827,9.146983486536,0.031091650685112406
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Female,25-34,0.037827,-25.479680200614,-0.023556246329836907
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Female,35-44,0.037827,9.173067888753,0.03889585343103136
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Female,45-54,0.037827,-10.20415515777,-0.012134061602243293
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Female,55-64,0.037827,-17.970689449574998,-0.014776727906567316
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Male,15-24,0.037827,-18.965463971228996,-0.016514295753234567
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Male,25-34,0.037827,-6.005917429965001,-0.014234049551680526
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Male,35-44,0.037827,22.161486757788005,0.16094315101487566
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Male,45-54,0.037827,6.6732552359909985,0.010803511609530348
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Male,55-64,0.037827,-7.912983829751999,-0.009121785378079691
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,Male,65+,0.037827,-19.679795015895,-0.012201865244969426
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Female,15-24,0.0378,9.140454590400001,0.031069458214958864
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Female,25-34,0.0378,-25.4614934196,-0.023539432449515823
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Female,35-44,0.0378,9.166520374200001,0.03886809050923905
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Female,45-54,0.0378,-10.196871678,-0.012125400601813427
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Female,55-64,0.0378,-17.957862404999997,-0.014766180634685397
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Male,15-24,0.0378,-18.9519268806,-0.016502508247343606
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Male,25-34,0.0378,-6.001630551000001,-0.014223889630515874
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,Male,35-44,0.0378,22.145668423200004,0.1608282736765353
