County_of_Origin,Parish_of_Public_Transportation,GenderDescription,AgeClassDescription,Parish_variation_abs,Parish_variation_rel
Amadora,Benfica,Female,15-24,74.314072118664,0.25260209277766676
Amadora,Benfica,Female,25-34,-207.008003761686,-0.19138119044133736
Amadora,Benfica,Female,35-44,74.525993147097,0.31600683014737757
Amadora,Benfica,Female,45-54,-82.90299456873001,-0.09858239389288645
Amadora,Benfica,Female,55-64,-146.00169703417498,-0.12005256431728625
Amadora,Benfica,Male,15-24,-154.083677902821,-0.13416932121953384
Amadora,Benfica,Male,25-34,-48.79468533928501,-0.11564360933648227
Amadora,Benfica,Male,35-44,180.04955705881204,1.3075721574363455
Amadora,Benfica,Male,45-54,54.21642791895899,0.08777242705939396
Amadora,Benfica,Male,55-64,-64.288522206648,-0.07410935172621633
Amadora,Benfica,Male,65+,-159.887213991855,-0.09913326017605782
Amadora,São Domingos de Benfica,Female,15-24,16.926042327096003,0.05753356790138825
Amadora,São Domingos de Benfica,Female,25-34,-47.148892986554,-0.04358967336425289
Amadora,São Domingos de Benfica,Female,35-44,16.974310228383,0.07197486061839169
Amadora,São Domingos de Benfica,Female,45-54,-18.882286424470003,-0.02245348322553266
Amadora,São Domingos de Benfica,Female,55-64,-33.253875522825,-0.027343607034023117
Amadora,São Domingos de Benfica,Male,15-24,-35.09465676881899,-0.030558890735166946
Amadora,São Domingos de Benfica,Male,25-34,-11.113654330115002,-0.026339407472677767
Amadora,São Domingos de Benfica,Male,35-44,41.00873948726801,0.29781737228932387
Amadora,São Domingos de Benfica,Male,45-54,12.348530064600999,0.019991366011904085
Amadora,São Domingos de Benfica,Male,55-64,-14.642586753672001,-0.016879414468751002
Amadora,São Domingos de Benfica,Male,65+,-36.416491176345,-0.022578950526135434
Amadora,Belém,Female,15-24,15.973790735112003,0.05429675503232719
Amadora,Belém,Female,25-34,-44.496317296438,-0.041137337782607565
Amadora,Belém,Female,35-44,16.019343105801003,0.06792558706216462
Amadora,Belém,Female,45-54,-17.81997741209,-0.021190260273946913
Amadora,Belém,Female,55-64,-31.383027317775,-0.02580526789806039
Amadora,Belém,Male,15-24,-33.120247031893,-0.028839661172255858
Amadora,Belém,Male,25-34,-10.488405094405003,-0.02485756415614413
Amadora,Belém,Male,35-44,38.70160609439601,0.2810622997565674
Amadora,Belém,Male,45-54,11.653807270846999,0.01886666067660574
Amadora,Belém,Male,55-64,-13.818801353784,-0.015929786139280578
Amadora,Belém,Male,65+,-34.367715625215006,-0.02130866884017859
Amadora,Alvalade,Female,15-24,14.471661001895999,0.049190843010334474
Amadora,Alvalade,Female,25-34,-40.312010494254,-0.03726889983614216
Amadora,Alvalade,Female,35-44,14.512929757533,0.06153805853720712
Amadora,Alvalade,Female,45-54,-16.14423754797,-0.019197588619490162
Amadora,Alvalade,Female,55-64,-28.431856914074995,-0.023378614085820554
Amadora,Alvalade,Male,15-24,-30.005713439768993,-0.026127661668750603
Amadora,Alvalade,Male,25-34,-9.502105385865,-0.022520029701520724
Amadora,Alvalade,Male,35-44,35.062217410668005,0.2546320025058097
Amadora,Alvalade,Male,45-54,10.557916464650997,0.017092493702793313
Amadora,Alvalade,Male,55-64,-12.519320677271999,-0.01443179447278228
Amadora,Alvalade,Male,65+,-31.135873643594998,-0.019304862381782462
Amadora,Olivais,Female,15-24,12.656627876088,0.04302133630764979
Amadora,Olivais,Female,25-34,-35.256085372362,-0.03259464110688116
Amadora,Olivais,Female,35-44,12.692720711799,0.05381996627894394
Amadora,Olivais,Female,45-54,-14.11943017191,-0.01678983049998721
Amadora,Olivais,Female,55-64,-24.865938522224994,-0.02044647250264731
Amadora,Olivais,Male,15-24,-26.242402244906994,-0.0228507350310638
Amadora,Olivais,Male,25-34,-8.310353033595002,-0.01969557161774686
Amadora,Olivais,Male,35-44,30.664720395204004,0.22269610244718344
Amadora,Olivais,Male,45-54,9.233744476352998,0.014948756209967164
Amadora,Olivais,Male,55-64,-10.949149724616,-0.01262176139990137
Amadora,Olivais,Male,65+,-27.230817958785,-0.016883650006263906
Amadora,Carnide,Female,15-24,11.856475382976,0.04030152579883235
Amadora,Carnide,Female,25-34,-33.027194321424,-0.03053400666308624
