,Region_of_Origin,District_of_Origin,County_of_Origin,GenderDescription,AgeClassDescription,Average_BusUsers_per_Day_first,Average_BusUsers_per_Day_second,Variation_abs,Variation_rel
0,R1 - AM Lisboa,Lisboa,Amadora,Female,15-24,294.194206,536.005174,241.810968,0.8219433390200758
1,R1 - AM Lisboa,Lisboa,Amadora,Female,25-34,1081.652817,408.068335,-673.584482,-0.6227363081882493
2,R1 - AM Lisboa,Lisboa,Amadora,Female,35-44,235.836653,478.337192,242.500539,1.0282563626782815
3,R1 - AM Lisboa,Lisboa,Amadora,Female,45-54,840.951323,571.192813,-269.75851,-0.32077779369876797
4,R1 - AM Lisboa,Lisboa,Amadora,Female,55-64,1216.148092,741.072367,-475.0757249999999,-0.39063969933030157
5,R1 - AM Lisboa,Lisboa,Amadora,Male,15-24,1148.427051,647.053324,-501.3737269999999,-0.4365742922577674
6,R1 - AM Lisboa,Lisboa,Amadora,Male,25-34,421.94018,263.166885,-158.77329500000002,-0.3762933764686739
7,R1 - AM Lisboa,Lisboa,Amadora,Male,35-44,137.697607,723.561851,585.8642440000001,4.254716234828976
8,R1 - AM Lisboa,Lisboa,Amadora,Male,45-54,617.693161,794.108294,176.41513299999997,0.2856031831636225
9,R1 - AM Lisboa,Lisboa,Amadora,Male,55-64,867.481913,658.293137,-209.18877599999996,-0.2411448271890367
10,R1 - AM Lisboa,Lisboa,Amadora,Male,65+,1612.851365,1092.59348,-520.257885,-0.3225702605273859
11,R1 - AM Lisboa,Lisboa,Cascais,Female,15-24,745.379537,352.976908,-392.40262900000005,-0.5264467422587696
12,R1 - AM Lisboa,Lisboa,Cascais,Female,25-34,919.144204,496.352956,-422.79124799999994,-0.45998358708031406
13,R1 - AM Lisboa,Lisboa,Cascais,Female,35-44,816.414391,451.279131,-365.13526,-0.4472425572419877
14,R1 - AM Lisboa,Lisboa,Cascais,Female,45-54,970.140963,670.410921,-299.730042,-0.3089551451091546
15,R1 - AM Lisboa,Lisboa,Cascais,Female,55-64,756.408177,345.732856,-410.675321,-0.5429281880965177
16,R1 - AM Lisboa,Lisboa,Cascais,Female,65+,2017.333975,1308.845537,-708.4884380000001,-0.3512003697850774
