Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,Demand_weight,user_av,Avg_daily_travellers
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.307323,7765.137315272727,2386.4052951415606
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.069997,7765.137315272727,543.5363166571451
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.066059,7765.137315272727,512.9572059096012
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alvalade,0.059847,7765.137315272727,464.7201729071269
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Olivais,0.052341,7765.137315272727,406.4350522186898
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Carnide,0.049032,7765.137315272727,380.74021284245237
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Alfragide,0.039779,7765.137315272727,308.8893972642338
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Estrela,0.038691,7765.137315272727,300.44092786521713
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campolide,0.037827,7765.137315272727,293.7318492248215
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santo António,0.0378,7765.137315272727,293.52219051730907
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Lumiar,0.037224,7765.137315272727,289.049471423712
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Alcântara,0.029157,7765.137315272727,226.40810870140692
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",0.022297,7765.137315272727,173.139266718636
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Avenidas Novas,0.021183,7765.137315272727,164.48890374942218
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Parque das Nações,0.020464,7765.137315272727,158.90577001974108
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santa Maria Maior,0.017371,7765.137315272727,134.88820030360256
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Águas Livres,0.016269,7765.137315272727,126.331018982172
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Arroios,0.012837,7765.137315272727,99.681067716156
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Campo de Ourique,0.012542,7765.137315272727,97.39035220815055
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Misericórdia,0.012425,7765.137315272727,96.48183114226364
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Areeiro,0.01003,7765.137315272727,77.88432727218546
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Marvila,0.006472,7765.137315272727,50.255968704445095
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Ajuda,0.00597,7765.137315272727,46.35786977217818
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Santa Clara,0.00429,7765.137315272727,33.31243908252
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Penha de França,0.00256,7765.137315272727,19.878751527098185
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Falagueira-Venda Nova,0.001757,7765.137315272727,13.643346262934182
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Beato,0.001385,7765.137315272727,10.754715181652728
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,União das freguesias de Carnaxide e Queijas,0.001258,7765.137315272727,9.768542742613091
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,União das freguesias de Moscavide e Portela,0.001094,7765.137315272727,8.495060222908362
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Vicente,0.000919,7765.137315272727,7.136161192735637
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Encosta do Sol,0.000785,7765.137315272727,6.095632792489091
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Pontinha e Famões,0.000722,7765.137315272727,5.606429141626909
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,União das freguesias de Sacavém e Prior Velho,0.000671,7765.137315272727,5.210407138548001
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,AMADORA,Venteira,0.000493,7765.137315272727,3.8282126964294543
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,ODIVELAS,Odivelas,0.000259,7765.137315272727,2.0111705646556364
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",0.000184,7765.137315272727,1.4287852660101819
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,ALMADA,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",0.000131,7765.137315272727,1.0172329883007274
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",8.4e-05,7765.137315272727,0.6522715344829091
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Laranjeiro e Feijó,6.4e-05,7765.137315272727,0.49696878817745455
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Charneca de Caparica e Sobreda,6.4e-05,7765.137315272727,0.49696878817745455
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MATOSINHOS,União das freguesias de Matosinhos e Leça da Palmeira,3.8e-05,7765.137315272727,0.2950752179803637
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Póvoa de Santo Adrião e Olival Basto,3.1e-05,7765.137315272727,0.24071925677345457
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,União das freguesias de Lordelo do Ouro e Massarelos,2.6e-05,7765.137315272727,0.2018935701970909
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,OEIRAS,Barcarena,2.6e-05,7765.137315272727,0.2018935701970909
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,VALONGO,Valongo,2.4e-05,7765.137315272727,0.18636329556654546
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,Ramalde,2.3e-05,7765.137315272727,0.17859815825127273
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,SETÚBAL,ALMADA,União das freguesias de Caparica e Trafaria,2.3e-05,7765.137315272727,0.17859815825127273
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,MAIA,Cidade da Maia,1.9e-05,7765.137315272727,0.14753760899018184
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LOURES,"União das freguesias de Camarate, Unhos e Apelação",1.6e-05,7765.137315272727,0.12424219704436364
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,ODIVELAS,União das freguesias de Ramada e Caneças,1.6e-05,7765.137315272727,0.12424219704436364
R1 - AM Lisboa,Lisboa,Amadora,R2 - AM Porto,PORTO,PORTO,Paranhos,1.3e-05,7765.137315272727,0.10094678509854545
