Region_of_Origin,District_of_Origin,County_of_Origin,Region_of_Public_Transportation,District_of_Public_Transportation,County_of_Public_Transportation,Parish_of_Public_Transportation,Demand_weight
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.307323
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.068546
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.039357
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.016486
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.033026
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.067301
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.063808
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.076509
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.020385
R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.592367
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.046044
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.009767
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.028876
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.010902
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.012468
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.048219
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.012814
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.031131
R2 - AM Porto,Aveiro,Espinho,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.006784
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.001027
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.003819
R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.162432
R2 - AM Porto,Aveiro,Vale de Cambra,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.069727
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,1.7e-05
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.000805
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,9.6e-05
R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.011372
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,7.2e-05
R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,9.2e-05
R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.001733
R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.14311
R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,3.3e-05
R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.004391
R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,Benfica,0.000212
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.069997
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.031596
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.067214
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.019116
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.064407
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.17016
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.043705
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.059044
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.016061
R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.00361
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.047561
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.012074
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.009714
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.009393
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.188608
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.19751
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.024302
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.045162
R2 - AM Porto,Aveiro,Espinho,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.002162
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.0035
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.003113
R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.047146
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,7.6e-05
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.001054
R2 - AM Porto,Porto,Matosinhos,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,6.4e-05
R2 - AM Porto,Porto,Paredes,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.003896
R2 - AM Porto,Porto,Porto,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.000322
R2 - AM Porto,Porto,Póvoa de Varzim,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.00248
R2 - AM Porto,Porto,Santo Tirso,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.087793
R2 - AM Porto,Porto,Trofa,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.004811
R2 - AM Porto,Porto,Valongo,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,2.9e-05
R2 - AM Porto,Porto,Vila do Conde,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.00088
R2 - AM Porto,Porto,Vila Nova de Gaia,R1 - AM Lisboa,LISBOA,LISBOA,São Domingos de Benfica,0.000118
R1 - AM Lisboa,Lisboa,Amadora,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.066059
R1 - AM Lisboa,Lisboa,Cascais,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.1343
R1 - AM Lisboa,Lisboa,Lisboa,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.046279
R1 - AM Lisboa,Lisboa,Loures,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.030997
R1 - AM Lisboa,Lisboa,Mafra,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.041734
R1 - AM Lisboa,Lisboa,Odivelas,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.023105
R1 - AM Lisboa,Lisboa,Oeiras,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.246656
R1 - AM Lisboa,Lisboa,Sintra,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.085409
R1 - AM Lisboa,Lisboa,Vila Franca de Xira,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.053413
R1 - AM Lisboa,Setúbal,Alcochete,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.000765
R1 - AM Lisboa,Setúbal,Almada,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.154564
R1 - AM Lisboa,Setúbal,Barreiro,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.10959
R1 - AM Lisboa,Setúbal,Moita,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.415096
R1 - AM Lisboa,Setúbal,Montijo,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.022479
R1 - AM Lisboa,Setúbal,Palmela,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.038098
R1 - AM Lisboa,Setúbal,Seixal,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.01275
R1 - AM Lisboa,Setúbal,Sesimbra,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.187554
R1 - AM Lisboa,Setúbal,Setúbal,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.088904
R2 - AM Porto,Aveiro,Espinho,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.005491
R2 - AM Porto,Aveiro,Oliveira de Azeméis,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.002107
R2 - AM Porto,Aveiro,Santa Maria da Feira,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.002424
R2 - AM Porto,Aveiro,São João da Madeira,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.040608
R2 - AM Porto,Porto,Gondomar,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.000242
R2 - AM Porto,Porto,Maia,R1 - AM Lisboa,LISBOA,LISBOA,Belém,0.000477
