PanelID,X,Y,Max_Visibi,Average_Da,geometry
26144,-8.473975,40.900768,69,31.0,POINT (-8.473974999999999 40.900768)
11714,-9.315949,38.958125,69,31.0,POINT (-9.315949 38.958125)
26109,-8.510079,40.871821,69,32.0,POINT (-8.510078999999999 40.871821)
32555,-8.479751,40.837695,69,32.0,POINT (-8.479751 40.837695)
5291,-8.42987,40.268692,69,32.0,POINT (-8.429869999999999 40.268692)
22437,-8.414758,41.045215,69,33.0,POINT (-8.414758000000001 41.045215)
46607,-8.749668,41.368876,86,34.0,POINT (-8.749668 41.368876)
1818,-9.146613,38.6878,69,34.0,POINT (-9.146613 38.6878)
30411,-8.655476,41.200398,69,34.0,POINT (-8.655476 41.200398)
34634,-9.143221,38.710728,63,34.0,POINT (-9.143221 38.710728)
6735,-8.32592,41.501022,69,35.0,POINT (-8.32592 41.501022)
4660,-9.420993,38.702024,69,35.0,POINT (-9.420992999999999 38.702024)
29946,-7.332339,40.757814,145,35.0,POINT (-7.332339 40.757814)
26319,-9.216405,38.780154,69,35.0,POINT (-9.216405 38.780154)
26317,-9.216424,38.780164,69,36.0,POINT (-9.216424 38.780164)
20763,-7.914865,40.679457,69,36.0,POINT (-7.914865 40.679457)
29615,-7.760934,40.606569,145,36.0,POINT (-7.760934 40.606569)
31707,-8.673731,41.179162,69,36.0,POINT (-8.673731 41.179162)
1731,-9.201572,38.656493,69,37.0,POINT (-9.201572000000001 38.656493)
27178,-9.322304,38.830235,69,37.0,POINT (-9.322304000000001 38.830235)
5262,-8.441194,40.266904,69,37.0,POINT (-8.441193999999999 40.266904)
6825,-8.669985,37.091352,69,37.0,POINT (-8.669985 37.091352)
1052,-8.203688,39.462952,69,38.0,POINT (-8.203688 39.462952)
20802,-7.888201,40.652584,69,38.0,POINT (-7.888201 40.652584)
5433,-8.432738,40.214686,69,38.0,POINT (-8.432738000000001 40.214686)
20762,-7.91486,40.679455,69,39.0,POINT (-7.91486 40.679455)
1040,-8.213911,39.464467,69,39.0,POINT (-8.213911 39.464467)
22373,-8.466789,41.10225,69,39.0,POINT (-8.466789 41.10225)
20803,-7.888204,40.652585,69,39.0,POINT (-7.888204 40.652585)
20632,-8.120487,37.103874,69,40.0,POINT (-8.120487000000001 37.103874)
19395,-8.507751,40.893957,78,41.0,POINT (-8.507751000000001 40.893957)
22396,-8.401862,41.071821,69,41.0,POINT (-8.401861999999999 41.071821)
28431,-8.487928,41.067437,69,41.0,POINT (-8.487928 41.067437)
26689,-8.328021,41.309635,69,42.0,POINT (-8.328021 41.309635)
6666,-8.316225,41.487706,69,42.0,POINT (-8.316224999999999 41.487706)
5274,-8.445206,40.267352,69,43.0,POINT (-8.445206000000001 40.267352)
49291,-9.204441,38.710662,71,43.0,POINT (-9.204440999999999 38.710662)
29945,-7.354813,40.78343,145,44.0,POINT (-7.354813 40.78343)
5292,-8.429831,40.268714,69,44.0,POINT (-8.429831 40.268714)
20805,-7.88271,40.655335,69,44.0,POINT (-7.88271 40.655335)
30412,-8.655484,41.200373,69,44.0,POINT (-8.655484 41.200373)
26705,-8.381993,41.304893,69,45.0,POINT (-8.381993 41.304893)
5180,-8.393765,40.246222,69,45.0,POINT (-8.393765 40.246222)
28435,-8.465077,41.059915,69,45.0,POINT (-8.465077000000001 41.059915)
22184,-8.630126,40.99383,69,45.0,POINT (-8.630126000000001 40.99383)
49309,-8.563193,41.262958,88,46.0,POINT (-8.563193 41.262958)
21613,-9.217723,38.758999,69,46.0,POINT (-9.217722999999999 38.758999)
27644,-8.462147,41.007643,69,48.0,POINT (-8.462147 41.007643)
26642,-8.368324,41.052162,69,48.0,POINT (-8.368323999999999 41.052162)
1822,-9.146721,38.687737,69,48.0,POINT (-9.146720999999999 38.687737)
5222,-8.421954,40.180012,69,48.0,POINT (-8.421953999999999 40.180012)
22382,-8.454256,41.071586,69,48.0,POINT (-8.454256000000001 41.071586)
29880,-8.50182,40.514612,145,48.0,POINT (-8.50182 40.514612)
5233,-8.452552,40.281902,69,49.0,POINT (-8.452552000000001 40.281902)
29924,-7.825597,40.351855,145,49.0,POINT (-7.825597 40.351855)
26592,-8.364446,41.050999,69,49.0,POINT (-8.364445999999999 41.050999)
31474,-9.102085,38.609508,69,50.0,POINT (-9.102085000000001 38.609508)
26074,-8.479952,40.837707,69,51.0,POINT (-8.479952000000001 40.837707)
26591,-8.368734,41.052294,69,51.0,POINT (-8.368734 41.052294)
26589,-8.24351,41.158512,69,51.0,POINT (-8.243510000000001 41.158512)
31475,-9.102085,38.609508,69,51.0,POINT (-9.102085000000001 38.609508)
22754,-8.400497,41.065089,69,51.0,POINT (-8.400497 41.065089)
6285,-8.848601,40.148077,69,51.0,POINT (-8.848601 40.148077)
1116,-7.966192,37.021335,69,51.0,POINT (-7.966192 37.021335)
20804,-7.882711,40.655332,69,52.0,POINT (-7.882711 40.655332)
27655,-8.511581,40.929228,69,52.0,POINT (-8.511581 40.929228)
30414,-8.655557,41.200145,69,52.0,POINT (-8.655557 41.200145)
26718,-8.368138,41.309881,69,52.0,POINT (-8.368138 41.309881)
19328,-8.488782,40.9142,69,53.0,POINT (-8.488782 40.9142)
3881,-9.398449,38.7411,69,53.0,POINT (-9.398448999999999 38.7411)
26073,-8.47995,40.837708,69,54.0,POINT (-8.479950000000001 40.837708)
31709,-8.673699,41.179156,69,55.0,POINT (-8.673698999999999 41.179156)
20800,-7.888645,40.652648,69,56.0,POINT (-7.888645 40.652648)
5435,-8.432857,40.214564,69,56.0,POINT (-8.432857 40.214564)
1830,-9.14703,38.687946,69,57.0,POINT (-9.147030000000001 38.687946)
5431,-8.43267,40.21468,69,57.0,POINT (-8.43267 40.21468)
27643,-8.462147,41.007643,69,57.0,POINT (-8.462147 41.007643)
26704,-8.381979,41.304897,69,58.0,POINT (-8.381978999999999 41.304897)
27302,-9.386282,38.81623,69,59.0,POINT (-9.386282 38.81623)
5186,-8.485342,40.200828,69,59.0,POINT (-8.485341999999999 40.200828)
3167,-8.39134,41.557831,69,60.0,POINT (-8.39134 41.557831)
6667,-8.31618,41.4877,69,60.0,POINT (-8.316179999999999 41.4877)
30488,-8.655545,41.194273,69,60.0,POINT (-8.655545 41.194273)
11768,-9.324968,38.970462,69,60.0,POINT (-9.324968 38.970462)
26756,-8.328206,41.309369,69,61.0,POINT (-8.328206 41.309369)
358,-9.418276,38.700433,71,61.0,POINT (-9.418276000000001 38.700433)
15652,-8.600192,41.150794,69,61.0,POINT (-8.600192 41.150794)
13486,-9.229711,38.699057,69,62.0,POINT (-9.229711 38.699057)
28678,-8.487349,41.067282,69,62.0,POINT (-8.487349 41.067282)
29069,-8.570755,40.801057,69,63.0,POINT (-8.570755 40.801057)
27303,-9.386282,38.81623,69,63.0,POINT (-9.386282 38.81623)
26588,-8.243515,41.158504,69,63.0,POINT (-8.243515 41.158504)
49256,-7.927037,40.681019,88,63.0,POINT (-7.927037 40.681019)
27307,-9.311686,38.750786,69,64.0,POINT (-9.311686 38.750786)
27110,-9.30143,38.871959,69,64.0,POINT (-9.30143 38.871959)
30961,-8.749534,41.369197,69,67.0,POINT (-8.749534000000001 41.369197)
5264,-8.467779,40.211642,69,67.0,POINT (-8.467779 40.211642)
1054,-8.215,39.46493,69,67.0,POINT (-8.215 39.46493)
15377,-8.59003,41.155508,69,68.0,POINT (-8.59003 41.155508)
5437,-8.432923,40.214497,69,68.0,POINT (-8.432923000000001 40.214497)
45349,-7.234432,40.562479,145,68.0,POINT (-7.234432 40.562479)
31003,-8.640985,41.216766,69,68.0,POINT (-8.640985000000001 41.216766)
5439,-8.432983,40.21444,69,69.0,POINT (-8.432983 40.21444)
31476,-9.102107,38.609518,69,69.0,POINT (-9.102107 38.609518)
16890,-8.625532,41.404789,69,70.0,POINT (-8.625532 41.404789)
5298,-8.404677,40.240931,69,71.0,POINT (-8.404677 40.240931)
27581,-8.52446,40.890922,69,71.0,POINT (-8.524459999999999 40.890922)
14821,-8.585979,41.148565,69,72.0,POINT (-8.585979 41.148565)
30413,-8.655551,41.200168,69,72.0,POINT (-8.655551000000001 41.200168)
27582,-8.524456,40.890922,69,72.0,POINT (-8.524456000000001 40.890922)
19836,-8.500351,41.193865,69,73.0,POINT (-8.500351 41.193865)
3224,-8.39087,41.55743,69,73.0,POINT (-8.39087 41.55743)
32278,-8.553756,41.145185,69,74.0,POINT (-8.553756 41.145185)
1036,-8.20932,39.463315,69,74.0,POINT (-8.20932 39.463315)
31810,-8.646371,41.177177,69,74.0,POINT (-8.646371 41.177177)
3230,-8.384129,41.553301,69,74.0,POINT (-8.384129 41.553301)
17387,-8.854885,38.537652,69,74.0,POINT (-8.854884999999999 38.537652)
32280,-8.553745,41.145172,69,75.0,POINT (-8.553744999999999 41.145172)
31127,-9.169949,38.669054,69,75.0,POINT (-9.169949000000001 38.669054)
28082,-8.620286,41.319231,69,76.0,POINT (-8.620286 41.319231)
