ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
231883000;3;18;            Alentejo;757302;366739;390563;733327;352913;380414;302975;543;233364;470284;469287;997;1455;383866
231884000;4;181;                Alentejo Litoral;97925;48624;49301;95376;47467;47909;40533;48;30280;68532;68352;180;266;53482
231885000;5;211;                    Odemira;26066;13171;12895;25716;12955;12761;11362;10;7927;20924;20851;73;108;18449
231886000;6;21101;                        Colos;1005;497;508;977;481;496;417;2;298;750;750;0;2;745
231954000;6;21102;                        Relíquias;931;462;469;1065;516;549;413;1;278;772;771;1;2;763
232007000;6;21103;                        Sabóia;1152;603;549;1153;604;549;540;1;317;918;917;1;2;878
232064000;6;21104;                        Santa Clara-a-Velha;602;310;292;599;311;288;271;0;174;553;552;1;2;550
232094000;6;21105;                        Odemira (Santa Maria);1301;609;692;1318;607;711;533;4;362;822;822;0;7;714
232145000;6;21106;                        São Luís;1989;995;994;1936;969;967;881;0;643;1759;1756;3;9;1701
232232000;6;21107;                        São Martinho das Amoreiras;1006;515;491;989;505;484;442;1;302;1024;1024;0;2;958
232277000;6;21108;                        Odemira (São Salvador);1818;884;934;1735;856;879;796;0;578;1204;1200;4;5;1038
232352000;6;21109;                        São Teotónio;5527;2911;2616;5449;2852;2597;2593;1;1620;3745;3725;20;21;3342
232551000;6;21110;                        Vale de Santiago;554;278;276;525;262;263;248;0;175;467;464;3;0;466
232589000;6;21111;                        Vila Nova de Milfontes;5031;2480;2551;4947;2429;2518;2062;0;1559;4635;4618;17;28;3556
232812000;6;21112;                        Pereiras-Gare;271;143;128;266;140;126;126;0;84;334;334;0;1;329
232836000;6;21113;                        Bicos;549;287;262;529;276;253;227;0;178;407;406;1;0;380
232868000;6;21114;                        Zambujeira do Mar;912;452;460;907;455;452;432;0;288;1064;1051;13;14;748
232968000;6;21115;                        Luzianes-Gare;429;242;187;408;231;177;206;0;127;435;435;0;1;409
232989000;6;21116;                        Boavista dos Pinheiros;1633;822;811;1592;799;793;617;0;518;823;821;2;3;745
233051000;6;21117;                        Longueira/Almograve;1356;681;675;1321;662;659;558;0;426;1212;1205;7;9;1127
233118000;5;1501;                    Alcácer do Sal;13046;6332;6714;12582;6089;6493;5236;8;4114;8818;8798;20;30;7535
233119000;6;150101;                        Alcácer do Sal (Santa Maria do Castelo);4048;1972;2076;3947;1925;2022;1617;2;1266;2416;2406;10;5;1894
233324000;6;150102;                        Santa Susana;353;180;173;339;172;167;168;0;128;420;420;0;1;420
233375000;6;150103;                        Alcácer do Sal (Santiago);4632;2206;2426;4477;2115;2362;1806;4;1429;2714;2711;3;13;2220
233574000;6;150104;                        Torrão;2295;1093;1202;2172;1032;1140;935;2;733;1805;1804;1;6;1611
233739000;6;150105;                        São Martinho;450;229;221;432;224;208;196;0;161;370;370;0;0;369
233773000;6;150106;                        Comporta;1268;652;616;1215;621;594;514;0;397;1093;1087;6;5;1021
233888000;5;1505;                    Grândola;14826;7506;7320;14475;7294;7181;5974;14;4497;12041;12025;16;35;9337
233889000;6;150501;                        Azinheira Barros e São Mamede do Sádão;704;364;340;685;350;335;320;0;216;614;614;0;3;614
233929000;6;150502;                        Grândola;10657;5163;5494;10245;4922;5323;4395;5;3324;6701;6689;12;16;5458
234252000;6;150503;                        Melides;1658;825;833;1702;846;856;729;0;555;1747;1744;3;3;1623
234334000;6;150504;                        Santa Margarida da Serra;177;94;83;177;94;83;87;0;58;262;262;0;0;222
234356000;6;150505;                        Carvalhal;1630;1060;570;1666;1082;584;443;9;344;2717;2716;1;13;1420
234450000;5;1509;                    Santiago do Cacém;29749;14586;15163;28323;13852;14471;12345;11;9364;18431;18387;44;46;13370
234451000;6;150901;                        Abela;890;442;448;898;445;453;382;0;285;603;600;3;1;592
234501000;6;150902;                        Alvalade;2098;1024;1074;2021;987;1034;894;0;665;1175;1173;2;2;1123
234608000;6;150903;                        Cercal;3362;1650;1712;3131;1517;1614;1460;0;1074;2686;2680;6;8;2431
234729000;6;150904;                        Ermidas-Sado;2020;979;1041;1936;929;1007;870;2;642;1391;1386;5;4;1278
234833000;6;150905;                        Santa Cruz;461;237;224;449;232;217;206;0;148;363;362;1;0;348
234857000;6;150906;                        Santiago do Cacém;7603;3676;3927;7315;3564;3751;3126;6;2300;4369;4358;11;20;2831
235094000;6;150907;                        Santo André;10647;5247;5400;9995;4896;5099;4265;3;3416;5881;5869;12;9;2870
235333000;6;150908;                        São Bartolomeu da Serra;390;209;181;376;203;173;171;0;122;289;288;1;0;265
235360000;6;150909;                        São Domingos;854;408;446;830;393;437;363;0;265;597;596;1;0;588
235410000;6;150910;                        São Francisco da Serra;809;411;398;778;397;381;345;0;245;595;594;1;1;567
235438000;6;150911;                        Vale de Água;615;303;312;594;289;305;263;0;202;482;481;1;1;477
235467000;5;1513;                    Sines;14238;7029;7209;14280;7277;7003;5616;5;4378;8318;8291;27;47;4791
235468000;6;151301;                        Sines;13200;6513;6687;13203;6729;6474;5194;5;4045;7170;7144;26;40;3866
235819000;6;151302;                        Porto Covo;1038;516;522;1077;548;529;422;0;333;1148;1147;1;7;925
235926000;4;182;                Alto Alentejo;118410;56796;61614;114613;54702;59911;47524;118;36291;81351;81147;204;296;68275
235927000;5;707;                    Mora;4978;2415;2563;4823;2311;2512;2063;6;1523;3880;3877;3;19;3867
235928000;6;70701;                        Brotas;451;219;232;436;209;227;208;1;147;386;386;0;1;387
235967000;6;70702;                        Cabeção;1073;489;584;1060;482;578;432;3;317;1051;1051;0;5;1052
236039000;6;70703;                        Mora;2522;1231;1291;2403;1152;1251;996;2;773;1496;1496;0;7;1483
236141000;6;70704;                        Pavia;932;476;456;924;468;456;427;0;286;947;944;3;6;945
236209000;5;1201;                    Alter do Chão;3562;1680;1882;3275;1533;1742;1464;7;1102;3052;3042;10;18;2886
236210000;6;120101;                        Alter do Chão;2373;1120;1253;2100;982;1118;936;4;722;1739;1729;10;10;1591
236353000;6;120102;                        Chancelaria;448;202;246;453;203;250;198;1;137;559;559;0;2;560
236399000;6;120103;                        Seda;352;176;176;335;168;167;162;1;121;400;400;0;4;392
236433000;6;120104;                        Cunheira;389;182;207;387;180;207;168;1;122;354;354;0;2;343
236458000;5;1202;                    Arronches;3165;1535;1630;3107;1484;1623;1246;6;931;2540;2539;1;9;2209
236459000;6;120201;                        Assunção;1970;926;1044;1941;896;1045;759;4;576;1414;1413;1;7;1151
236547000;6;120202;                        Esperança;739;369;370;728;361;367;322;1;219;841;841;0;1;778
236598000;6;120203;                        Mosteiros;456;240;216;438;227;211;165;1;136;285;285;0;1;280
236621000;5;1203;                    Avis;4571;2178;2393;4420;2088;2332;1867;5;1376;3679;3646;33;15;3527
236622000;6;120301;                        Alcôrrego;401;205;196;388;194;194;163;0;131;393;392;1;0;354
236651000;6;120302;                        Aldeia Velha;280;134;146;272;128;144;133;0;89;327;327;0;2;324
236674000;6;120303;                        Avis;1840;861;979;1787;831;956;727;2;549;1168;1151;17;7;1086
236764000;6;120304;                        Benavila;861;396;465;832;380;452;338;2;243;645;632;13;4;628
236811000;6;120305;                        Ervedal;560;272;288;532;259;273;243;0;174;437;436;1;0;429
