ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
262716000;3;15;            Algarve;451006;219931;231075;462862;226060;236802;182776;152;139009;378349;377619;730;1777;198924
262717000;4;150;                Algarve;451006;219931;231075;462862;226060;236802;182776;152;139009;378349;377619;730;1777;198924
262718000;5;801;                    Albufeira;40828;20028;20800;49578;24477;25101;16420;13;12395;42631;42548;83;571;19686
262719000;6;80101;                        Albufeira;22781;11113;11668;28606;14060;14546;9272;8;6768;23631;23582;49;446;8737
263425000;6;80102;                        Guia;4376;2148;2228;4891;2439;2452;1749;2;1340;5413;5408;5;46;3213
263581000;6;80103;                        Paderne;3304;1645;1659;3252;1629;1623;1342;2;1022;2284;2278;6;6;2016
263684000;6;80104;                        Ferreiras;6406;3178;3228;6144;3017;3127;2458;1;2011;3442;3426;16;4;2610
263810000;6;80105;                        Olhos de Água;3961;1944;2017;6685;3332;3353;1599;0;1254;7861;7854;7;69;3110
263998000;5;802;                    Alcoutim;2917;1454;1463;2893;1445;1448;1362;1;879;3508;3508;0;9;3461
263999000;6;80201;                        Alcoutim;921;448;473;940;462;478;413;1;253;1242;1242;0;7;1215
264173000;6;80202;                        Giões;256;128;128;248;124;124;130;0;77;311;311;0;0;303
264255000;6;80203;                        Martim Longo;1030;514;516;1013;505;508;459;0;328;1044;1044;0;1;1031
264416000;6;80204;                        Pereiro;213;108;105;214;110;104;116;0;66;396;396;0;1;397
264494000;6;80205;                        Vaqueiros;497;256;241;478;244;234;244;0;155;515;515;0;0;515
264574000;5;803;                    Aljezur;5884;2905;2979;5824;2880;2944;2649;2;1826;5876;5857;19;51;5391
264575000;6;80301;                        Aljezur;3365;1653;1712;3328;1635;1693;1492;1;1041;3434;3421;13;24;3136
264906000;6;80302;                        Bordeira;432;229;203;462;247;215;213;0;130;573;573;0;11;548
265000000;6;80303;                        Odeceixe;961;470;491;931;455;476;418;1;291;949;948;1;12;859
265085000;6;80304;                        Rogil;1126;553;573;1103;543;560;526;0;364;920;915;5;4;848
265157000;5;804;                    Castro Marim;6747;3355;3392;7069;3498;3571;2824;1;2116;8362;8353;9;16;6765
265158000;6;80401;                        Azinhal;522;252;270;503;242;261;255;0;157;657;657;0;0;649
265210000;6;80402;                        Castro Marim;3267;1629;1638;3236;1603;1633;1307;1;1005;2820;2816;4;4;2657
265364000;6;80403;                        Odeleite;763;398;365;766;400;366;380;0;257;1200;1200;0;1;1191
265440000;6;80404;                        Altura;2195;1076;1119;2564;1253;1311;882;0;697;3685;3680;5;11;2268
265576000;5;805;                    Faro;64560;30930;33630;63467;30163;33304;26929;32;19539;37975;37788;187;92;17257
265577000;6;80501;                        Conceição;4524;2267;2257;4365;2189;2176;1726;1;1391;2305;2263;42;1;1779
265705000;6;80502;                        Estoi;3652;1800;1852;3701;1806;1895;1393;3;1135;2292;2283;9;7;1969
265877000;6;80503;                        Santa Bárbara de Nexe;4116;2034;2082;3981;1965;2016;1578;3;1283;2806;2792;14;3;2558
266035000;6;80504;                        Faro (São Pedro);14577;6990;7587;14198;6782;7416;6227;7;4329;8688;8597;91;35;3407
266307000;6;80505;                        Faro (Sé);29542;13796;15746;28961;13374;15587;12728;18;8900;17459;17434;25;38;4894
266707000;6;80506;                        Montenegro;8149;4043;4106;8261;4047;4214;3277;0;2501;4425;4419;6;8;2650
266905000;5;806;                    Lagoa;22975;11299;11676;24202;11977;12225;9071;7;7088;19588;19560;28;381;12772
266906000;6;80601;                        Estômbar;4985;2488;2497;4976;2524;2452;1932;2;1567;3318;3306;12;67;2386
267082000;6;80602;                        Ferragudo;1973;1003;970;2073;1053;1020;861;0;616;1927;1926;1;32;1421
267182000;6;80603;                        Lagoa;7266;3513;3753;7178;3463;3715;2887;3;2200;4412;4408;4;84;2685
267389000;6;80604;                        Porches;2011;996;1015;2311;1174;1137;812;2;620;3300;3299;1;44;1707
267505000;6;80605;                        Carvoeiro;2721;1316;1405;3920;1940;1980;1120;0;856;4643;4642;1;154;3348
267658000;6;80606;                        Parchal;4019;1983;2036;3744;1823;1921;1459;0;1229;1988;1979;9;0;1225
267731000;5;807;                    Lagos;31049;15090;15959;30934;14997;15937;12557;11;9504;27030;26973;57;105;13205
267732000;6;80701;                        Barão de São João;895;448;447;909;457;452;398;1;264;689;676;13;5;666
267773000;6;80702;                        Bensafrim;1530;768;762;1493;743;750;623;1;482;1002;995;7;1;926
267849000;6;80703;                        Luz;3545;1731;1814;3809;1860;1949;1490;1;1120;5300;5295;5;27;3604
268160000;6;80704;                        Odiáxere;2984;1462;1522;2908;1428;1480;1156;2;937;1776;1769;7;8;1396
268273000;6;80705;                        Lagos (Santa Maria);8046;3817;4229;8024;3801;4223;3229;3;2392;6895;6895;0;37;2662
268492000;6;80706;                        Lagos (São Sebastião);14049;6864;7185;13791;6708;7083;5661;3;4309;11368;11343;25;27;3951
268830000;5;808;                    Loulé;70622;34449;36173;71593;35094;36499;28402;13;21986;65662;65565;97;121;34394
268831000;6;80801;                        Almancil;11136;5604;5532;12515;6402;6113;4369;2;3454;10121;10108;13;24;7536
269330000;6;80802;                        Alte;1997;988;1009;2008;996;1012;874;1;636;1565;1560;5;3;1522
269440000;6;80803;                        Ameixial;439;228;211;428;221;207;221;0;131;458;458;0;0;456
269501000;6;80804;                        Boliqueime;4973;2422;2551;4878;2373;2505;1963;1;1571;3189;3180;9;12;2756
