ordem;nivel;cod_dim2;Zona Geográfica;População residente - Total;População residente - H;População residente - M;População presente - Total;População presente - H;População presente - M;Famílias - Clássicas ;Famílias - Institucionais;Núcleos familiares ;Alojamentos familiares - Total ;Alojamentos familiares - Clássicos;Alojamentos familiares - Não clássicos;Alojamentos colectivos;Edifícios clássicos
192193000;3;17;            Lisboa;2821876;1334605;1487271;2731459;1281415;1450044;1147775;1172;852217;1485795;1483717;2078;2063;448957
192194000;4;171;                Grande Lisboa;2042477;961132;1081345;1982759;926955;1055804;835653;885;609887;1065235;1064036;1199;1633;277387
192195000;5;1105;                    Cascais;206479;96866;109613;198340;92312;106028;82093;123;61887;108998;108840;158;173;43624
192196000;6;110501;                        Alcabideche;42162;20428;21734;40755;19636;21119;15460;30;12493;19758;19696;62;31;10662
192837000;6;110502;                        Carcavelos;23347;10780;12567;22179;10145;12034;9982;10;7130;12339;12323;16;16;2947
193128000;6;110503;                        Cascais;35409;16224;19185;34023;15544;18479;14564;11;10567;22734;22718;16;36;8777
193735000;6;110504;                        Estoril;26399;12062;14337;25435;11586;13849;11147;27;7650;16027;16018;9;45;5597
194151000;6;110505;                        Parede;21660;9829;11831;20742;9295;11447;9154;25;6290;12101;12086;15;26;3807
194427000;6;110506;                        São Domingos de Rana;57502;27543;29959;55206;26106;29100;21786;20;17757;26039;25999;40;19;11834
195270000;5;1106;                    Lisboa;547733;250874;296859;547348;250857;296491;243892;379;154519;323076;322865;211;905;52496
195271000;6;110601;                        Ajuda;15584;7120;8464;14916;6787;8129;6982;5;4610;8872;8866;6;7;2837
195474000;6;110602;                        Alcântara;13943;6254;7689;14352;6460;7892;6591;10;3968;8900;8886;14;20;1659
195610000;6;110603;                        Alto do Pina;10333;4687;5646;9975;4488;5487;4647;9;2914;6106;6104;2;11;588
195678000;6;110604;                        Alvalade;8869;3764;5105;9129;3850;5279;4189;9;2440;5381;5381;0;14;633
195730000;6;110605;                        Ameixoeira;11863;5568;6295;11299;5270;6029;4772;5;3462;6235;6227;8;5;998
195838000;6;110606;                        Anjos;9361;4392;4969;9442;4431;5011;4604;11;2462;6032;6027;5;34;968
195906000;6;110607;                        Beato;12429;5763;6666;12047;5567;6480;5757;1;3652;7636;7631;5;4;1832
196023000;6;110608;                        Benfica;36821;16487;20334;35713;15958;19755;16735;11;11067;21204;21197;7;17;2811
196272000;6;110609;                        Campo Grande;10514;4679;5835;11918;5267;6651;4669;13;2928;6199;6199;0;21;639
196343000;6;110610;                        Campolide;15460;7468;7992;15669;7580;8089;6729;20;4114;9235;9224;11;20;2472
196494000;6;110611;                        Carnide;23316;10893;12423;23072;10861;12211;9064;17;6598;11148;11145;3;18;1804
196665000;6;110612;                        Castelo;355;158;197;353;157;196;191;0;97;348;347;1;1;102
196676000;6;110613;                        Charneca;9935;4753;5182;9469;4481;4988;3677;2;2862;4446;4430;16;2;702
196752000;6;110614;                        Coração de Jesus;3689;1698;1991;5355;2617;2738;1928;2;946;2849;2848;1;42;493
196810000;6;110615;                        Encarnação;2252;1060;1192;2300;1068;1232;1175;2;578;2261;2258;3;22;497
196871000;6;110616;                        Graça;5787;2613;3174;5606;2514;3092;2769;3;1621;4118;4117;1;7;874
196915000;6;110617;                        Lapa;8000;3553;4447;7780;3445;4335;3618;7;2130;5284;5281;3;13;936
196984000;6;110618;                        Lumiar;41163;19140;22023;39642;18182;21460;17185;21;11690;21451;21446;5;21;1775
197247000;6;110619;                        Madalena;393;187;206;457;234;223;181;0;106;370;370;0;5;79
197266000;6;110620;                        Mártires;372;182;190;349;172;177;184;1;92;321;321;0;5;64
197278000;6;110621;                        Marvila;38102;17945;20157;36630;17144;19486;14194;11;11494;16669;16649;20;12;1553
197506000;6;110622;                        Mercês;4345;1968;2377;4121;1857;2264;2176;3;1118;3248;3241;7;4;732
197553000;6;110623;                        Nossa Senhora de Fátima;15283;6692;8591;16114;7069;9045;7061;20;4043;10387;10386;1;55;1264
197681000;6;110624;                        Pena;4486;2166;2320;4600;2299;2301;2207;4;1139;3505;3503;2;13;735
197733000;6;110625;                        Penha de França;12780;5680;7100;12406;5431;6975;6184;6;3642;8308;8305;3;8;1291
197804000;6;110626;                        Prazeres;8096;3679;4417;7660;3497;4163;3777;6;2200;4937;4924;13;12;1290
197883000;6;110627;                        Sacramento;742;357;385;802;383;419;376;0;173;676;674;2;10;134
197899000;6;110628;                        Santa Catarina;3716;1692;2024;3591;1631;1960;1917;2;913;2951;2949;2;15;608
197956000;6;110629;                        Santa Engrácia;5249;2376;2873;5097;2305;2792;2680;0;1507;3530;3529;1;4;662
198002000;6;110630;                        Santa Isabel;6875;3034;3841;6643;2919;3724;3173;9;1841;4305;4305;0;15;940
198055000;6;110631;                        Santa Justa;891;497;394;1865;1069;796;412;1;180;628;628;0;32;193
198076000;6;110632;                        Santa Maria de Belém;8541;3868;4673;8302;3755;4547;3809;13;2374;5255;5253;2;18;2000
198254000;6;110633;                        Santa Maria dos Olivais;51036;24026;27010;49643;23224;26419;21132;15;15230;26059;26045;14;29;3435
198614000;6;110634;                        Santiago;619;261;358;582;242;340;326;1;155;556;556;0;3;113
198630000;6;110635;                        Santo Condestável;15257;6628;8629;14566;6269;8297;7358;10;4306;9481;9476;5;14;1711
198741000;6;110636;                        Santo Estêvão;1511;691;820;1398;643;755;849;0;399;1565;1564;1;6;409
198784000;6;110637;                        Santos-o-Velho;4020;1865;2155;3966;1819;2147;1930;0;1057;2888;2888;0;10;653
198830000;6;110638;                        São Cristóvão e São Lourenço;1341;675;666;1275;647;628;676;4;309;1092;1092;0;4;217
198860000;6;110639;                        São Domingos de Benfica;33745;15194;18551;33365;14938;18427;15298;16;9821;20233;20229;4;27;1753
199063000;6;110640;                        São Francisco Xavier;8020;3656;4364;8496;4135;4361;3341;5;2315;4216;4203;13;6;1039
199181000;6;110641;                        São João;15187;6790;8397;14852;6618;8234;7233;8;4329;9484;9480;4;20;1281
199270000;6;110642;                        São João de Brito;11727;5152;6575;11516;5025;6491;5233;34;3181;6782;6780;2;43;1225
199375000;6;110643;                        São João de Deus;9798;4224;5574;9797;4230;5567;4603;6;2703;6427;6425;2;14;831
199472000;6;110644;                        São Jorge de Arroios;18415;8405;10010;19367;9011;10356;9218;22;4702;11887;11882;5;75;1617
199590000;6;110645;                        São José;2746;1295;1451;3159;1581;1578;1429;3;695;2327;2324;3;27;522
199632000;6;110646;                        São Mamede;5420;2358;3062;5824;2572;3252;2427;12;1386;3321;3321;0;27;594
199687000;6;110647;                        São Miguel;1531;694;837;1534;697;837;872;0;405;1138;1138;0;1;264
199717000;6;110648;                        São Nicolau;1231;715;516;1946;1082;864;456;5;229;1159;1159;0;29;234
199774000;6;110649;                        São Paulo;2728;1354;1374;2760;1380;1380;1315;2;702;2036;2034;2;11;396
199843000;6;110650;                        São Sebastião da Pedreira;6342;2877;3465;9224;4415;4809;2838;7;1651;4043;4041;2;47;589
199912000;6;110651;                        São Vicente de Fora;3539;1579;1960;3430;1529;1901;1842;1;998;2644;2639;5;6;831
199954000;6;110652;                        Sé;910;437;473;912;432;480;433;2;235;862;862;0;9;144
199975000;6;110653;                        Socorro;3065;1625;1440;3062;1620;1442;1470;2;750;2081;2076;5;10;473
200001000;5;1107;                    Loures;205054;98266;106788;196682;93335;103347;80464;67;63285;99262;99060;202;82;31095
200002000;6;110701;                        Apelação;5647;2785;2862;5467;2680;2787;1959;4;1591;2197;2193;4;5;662
200077000;6;110702;                        Bucelas;4663;2243;2420;4522;2151;2371;1893;1;1517;2612;2608;4;2;2063
200233000;6;110703;                        Camarate;19789;9513;10276;18971;9084;9887;7563;7;5965;9268;9201;67;8;3285
200528000;6;110705;                        Fanhões;2801;1403;1398;2735;1378;1357;1098;6;857;1429;1422;7;7;1284
200633000;6;110706;                        Frielas;2171;1088;1083;2100;1051;1049;817;0;668;1011;996;15;0;394
200683000;6;110707;                        Loures;27362;13071;14291;26242;12374;13868;10598;21;8481;13715;13700;15;21;5028
201172000;6;110708;                        Lousa;3169;1511;1658;3062;1459;1603;1268;3;981;1767;1766;1;5;1544
201302000;6;110709;                        Moscavide;14266;6560;7706;13745;6229;7516;6561;3;4379;7990;7990;0;3;1004
201409000;6;110712;                        Sacavém;18469;8708;9761;17612;8244;9368;7528;1;5658;9533;9531;2;2;1010
201551000;6;110713;                        Santa Iria de Azoia;18240;8836;9404;17537;8396;9141;7075;5;5883;8567;8559;8;7;3498
201984000;6;110714;                        Santo Antão do Tojal;4216;2097;2119;4037;1988;2049;1583;5;1310;2245;2241;4;6;1566
