ordem,nivel,cod_dim2,Zona Geográfica,População residente - Total,População residente - H,População residente - M,População presente - Total,População presente - H,População presente - M,Famílias - Clássicas ,Famílias - Institucionais,Núcleos familiares ,Alojamentos familiares - Total ,Alojamentos familiares - Clássicos,Alojamentos familiares - Não clássicos,Alojamentos colectivos,Edifícios clássicos
96349000,6,10101,Agadão,373,173,200,368,169,199,146,0,123,207,207,0,0,204
96374000,6,10102,Aguada de Baixo,1373,643,730,1322,611,711,478,1,431,622,622,0,3,574
96430000,6,10103,Aguada de Cima,4013,1943,2070,3806,1820,1986,1455,1,1265,2018,2014,4,2,1653
96580000,6,10104,Águeda,11346,5393,5953,11106,5217,5889,4382,5,3566,5860,5855,5,12,3485
96888000,6,10105,Barrô,1836,873,963,1792,851,941,653,1,596,842,840,2,1,784
96944000,6,10106,Belazaima do Chão,599,277,322,587,270,317,216,1,194,265,263,2,1,258
96984000,6,10107,Castanheira do Vouga,639,292,347,621,283,338,229,0,197,313,313,0,0,308
97035000,6,10108,Espinhel,2482,1204,1278,2368,1149,1219,869,0,788,1067,1065,2,1,1026
97139000,6,10109,Fermentelos,3258,1599,1659,3148,1542,1606,1169,1,1043,1463,1463,0,3,1308
97204000,6,10110,Lamas do Vouga,729,352,377,691,327,364,250,0,226,318,316,2,0,302
97229000,6,10111,Macieira de Alcoba,84,38,46,82,38,44,39,0,29,83,83,0,1,84
97248000,6,10112,Macinhata do Vouga,3406,1634,1772,3310,1578,1732,1279,1,1094,1727,1727,0,2,1644
97421000,6,10113,Óis da Ribeira,716,347,369,691,335,356,251,0,227,309,309,0,0,287
97440000,6,10114,Préstimo,724,350,374,710,341,369,264,0,234,412,411,1,0,410
97507000,6,10115,Recardães,3554,1720,1834,3354,1603,1751,1321,3,1158,1686,1686,0,3,1282
97611000,6,10116,Segadães,1169,567,602,1120,540,580,404,0,375,500,500,0,0,440
97646000,6,10117,Travassô,1589,754,835,1502,706,796,561,2,507,726,725,1,2,682
97702000,6,10118,Trofa,2732,1314,1418,2678,1263,1415,996,1,867,1202,1202,0,3,947
97775000,6,10119,Valongo do Vouga,4877,2351,2526,4615,2208,2407,1685,2,1560,2156,2155,1,2,2051
97937000,6,10120,Borralha,2230,1067,1163,2150,1025,1125,806,1,713,1045,1045,0,1,843
98022000,6,10201,Albergaria-a-Velha,8528,4093,4435,8046,3793,4253,3210,3,2648,4414,4412,2,6,2615
98277000,6,10202,Alquerubim,2381,1142,1239,2362,1122,1240,866,1,744,1082,1074,8,1,1041
98380000,6,10203,Angeja,2073,1003,1070,2011,966,1045,756,0,649,979,979,0,0,944
98456000,6,10204,Branca,5621,2753,2868,5456,2658,2798,1965,6,1762,2559,2558,1,6,2417
98658000,6,10205,Frossos,887,434,453,848,415,433,333,0,286,483,481,2,1,444
98692000,6,10206,Ribeira de Fráguas,1713,832,881,1633,779,854,613,1,532,753,753,0,1,746
98790000,6,10207,São João de Loure,2009,973,1036,1964,941,1023,734,1,642,970,962,8,1,934
98880000,6,10208,Valmaior,2040,1000,1040,1941,946,995,764,0,659,1075,1075,0,0,999
98977000,6,10301,Amoreira da Gândara,1057,513,544,1023,494,529,409,1,351,578,577,1,1,572
99034000,6,10302,Ancas,624,296,328,606,285,321,241,0,204,327,326,1,0,315
99057000,6,10303,Arcos,5511,2609,2902,5361,2529,2832,2034,9,1684,2776,2775,1,12,1784
99180000,6,10304,Avelãs de Caminho,1252,631,621,1227,621,606,451,1,401,621,621,0,1,555
99215000,6,10305,Avelãs de Cima,2185,1080,1105,2113,1041,1072,764,3,657,978,977,1,3,957
99324000,6,10306,Mogofores,820,398,422,808,393,415,322,2,256,461,461,0,3,392
99348000,6,10307,Moita,2484,1200,1284,2409,1159,1250,899,1,792,1216,1215,1,1,1168
99471000,6,10308,Óis do Bairro,491,233,258,476,229,247,210,0,155,434,434,0,1,219
99492000,6,10309,Sangalhos,4068,1928,2140,3909,1835,2074,1509,4,1270,1963,1959,4,8,1644
99610000,6,10310,São Lourenço do Bairro,2414,1155,1259,2292,1083,1209,906,0,769,1253,1252,1,0,1231
99710000,6,10311,Tamengos,1602,755,847,1534,713,821,603,1,515,882,881,1,5,710
99760000,6,10312,Vila Nova de Monsarros,1713,827,886,1643,776,867,641,1,555,859,857,2,1,824
99826000,6,10313,Vilarinho do Bairro,2764,1322,1442,2682,1271,1411,1049,3,882,1583,1582,1,3,1566
99974000,6,10314,Paredes do Bairro,994,466,528,966,449,517,372,0,318,491,491,0,0,485
100008000,6,10315,Aguim,1171,554,617,1115,524,591,443,1,355,589,588,1,3,555
100055000,6,10501,Aradas,9157,4359,4798,9521,4540,4981,3791,4,2857,4888,4887,1,7,2917
100242000,6,10502,Cacia,7354,3599,3755,7059,3424,3635,2630,0,2345,3180,3139,41,2,2744
100353000,6,10503,Eirol,753,375,378,724,359,365,272,0,240,342,341,1,0,337
